"Title","Link_Image1","Link_Image2","Link_Image3","Link_Image4","SKU","Link","mmolazi_type","tags","category"
"Mickey Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_178fcb1d-aac8-4640-9102-7018f96b4fa8_900x.jpg?v=1537962474","http://cdn.shopify.com/s/files/1/2652/6224/products/2_a6b8e58a-6b8e-47d8-b713-9f71c8f18a4c_900x.jpg?v=1537962491","","","","https://99shirt.com/products/mickey-shirt","","",""
"Marvel Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_c3fc463a-c84a-4ce3-b2fc-8944c97886cd_900x.jpg?v=1537697397","http://cdn.shopify.com/s/files/1/2652/6224/products/2_90766e5f-3082-4e2c-943a-40d09f3f205e_900x.jpg?v=1537697452","","","","https://99shirt.com/products/marvel-shirt","","",""
"Cat Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_a6132db3-6273-4b3d-8138-968fa378b9c2_900x.jpg?v=1537505282","http://cdn.shopify.com/s/files/1/2652/6224/products/2_734fb0f0-700a-45b2-89b7-d8abf5196392_900x.jpg?v=1537505297","","","","https://99shirt.com/products/cat-shirt","","",""
"Mario Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_d26c3ffb-8652-44ec-856d-3fbd94e91a89_900x.jpg?v=1537360125","http://cdn.shopify.com/s/files/1/2652/6224/products/2_72a132c5-59af-4eaa-a3c6-a5b2d8f84df1_900x.jpg?v=1537360144","","","","https://99shirt.com/products/mario-shirt","","",""
"Elephant Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_70fff274-f55c-43b6-afa7-e4b03d76fef7_900x.jpg?v=1537176872","http://cdn.shopify.com/s/files/1/2652/6224/products/2_2116ebab-57cc-4f15-bba9-46d042a2ce74_900x.jpg?v=1537176892","","","","https://99shirt.com/products/80","","",""
"Pain Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_22a26586-4714-43a7-be86-dd3ef78a20cd_900x.jpg?v=1537085034","http://cdn.shopify.com/s/files/1/2652/6224/products/2_0c936465-695e-48fc-a83a-080f991fe3de_900x.jpg?v=1537085058","","","","https://99shirt.com/products/pain-shirt","","",""
"Female Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_efe0adf6-9d8e-4339-8118-859b00c5eacd_900x.jpg?v=1537071263","http://cdn.shopify.com/s/files/1/2652/6224/products/2_fe28c0e2-49e1-45a1-b6d5-78442ff7c9bd_900x.jpg?v=1537071278","","","","https://99shirt.com/products/female-shirt","","",""
"Evans Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_3e3ea935-ce15-4845-be98-2a751aea463f_900x.jpg?v=1535199699","http://cdn.shopify.com/s/files/1/2652/6224/products/2_88b46209-b3e8-499c-8ee2-a9b9643b2a30_900x.jpg?v=1535199709","","","","https://99shirt.com/products/evans-shirt","","",""
"Sesshomaru Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_bb339d28-f848-4c53-a304-bd852f8e1c93_900x.jpg?v=1535194765","http://cdn.shopify.com/s/files/1/2652/6224/products/2_d50874b4-c2be-45ef-bece-7c7bedf7733a_900x.jpg?v=1535194876","","","","https://99shirt.com/products/sesshomaru-shirt","","",""
"Inuyasha Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_336a894e-b770-46ce-8428-4350264e9188_900x.jpg?v=1536387996","http://cdn.shopify.com/s/files/1/2652/6224/products/2_2bdb2b7c-f542-4cf3-89a8-d7241b1349fd_900x.jpg?v=1536387997","","","","https://99shirt.com/products/inuyasha-shirt","","",""
"Boruto Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_89d81696-3a2a-4c12-ac85-54cf674c4284_900x.jpg?v=1535076591","http://cdn.shopify.com/s/files/1/2652/6224/products/2_10feee48-d329-4ba9-ba21-48b60f7f835c_900x.jpg?v=1535076604","","","","https://99shirt.com/products/boruto-shirt","","",""
"Rick Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_1876ae39-fbf8-4ad0-9f9d-c9df44d35960_900x.jpg?v=1538220347","http://cdn.shopify.com/s/files/1/2652/6224/products/2_84a87e19-7e67-4000-8943-6c6a158877e6_900x.jpg?v=1538220363","","","","https://99shirt.com/products/rick-shirt","","",""
"Maka Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_af7a99bf-270a-473b-a9c5-4f19aa33d161_900x.jpg?v=1537677553","http://cdn.shopify.com/s/files/1/2652/6224/products/2_22fc654a-e468-45a1-bbbc-6bd3a528bddd_900x.jpg?v=1537677575","","","","https://99shirt.com/products/maka-shirt","","",""
"Luffy Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_1c1b3d70-0ae3-441e-82f6-1b45047b06d5_900x.jpg?v=1537505531","http://cdn.shopify.com/s/files/1/2652/6224/products/2_3a218468-e328-41b5-8b10-65ccbe6901b2_900x.jpg?v=1537505547","","","","https://99shirt.com/products/luffy-shirt","","",""
"Yoda Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_6b2926ac-e129-4fa7-abd9-78cb90d41bcf_900x.jpg?v=1537360980","http://cdn.shopify.com/s/files/1/2652/6224/products/2_9da21ddd-167b-4d56-bc66-6f470701a02b_900x.jpg?v=1537360989","","","","https://99shirt.com/products/yoda-shirt","","",""
"Zazu Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_898be405-5090-4cbf-afe9-c8095b76c80e_900x.jpg?v=1537072075","http://cdn.shopify.com/s/files/1/2652/6224/products/2_b267cef9-af0d-4e94-9ced-b0f486966a46_900x.jpg?v=1537072110","","","","https://99shirt.com/products/64","","",""
"Heroes Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_2849cfc5-153c-4523-8142-6bc16abbcd4a_900x.jpg?v=1536757654","http://cdn.shopify.com/s/files/1/2652/6224/products/2_2b8b56db-31d6-44b7-8cbf-6b5f2fcf75dd_900x.jpg?v=1536757678","","","","https://99shirt.com/products/heroes-shirt","","",""
"Chopper Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_443b32b9-fad3-4c9a-9bee-a7d7ef5d3a5f_900x.jpg?v=1536756760","http://cdn.shopify.com/s/files/1/2652/6224/products/2_408e4cab-ef1d-43d6-8e54-9e455befbe5c_900x.jpg?v=1536756781","","","","https://99shirt.com/products/chopper-shirt","","",""
"Eve Shirt","http://cdn.shopify.com/s/files/1/2652/6224/products/1_6d82ace9-89b6-47d4-9eea-81f1588e0fe9_900x.jpg?v=1536755809","http://cdn.shopify.com/s/files/1/2652/6224/products/2_f312de0c-4cdb-40f7-a469-04d06b18e554_900x.jpg?v=1536755840","","","","https://99shirt.com/products/eve-shirt","","",""
